Title,Location,Bedrooms,Bathrooms,Garage,Price,Size,Listing_Type
FREE HOLD!! Amazing 2+1 Bedroom Apartment For Sale in AL Mouj,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 120,000Freehold",127 SQM,For Sale
ADS702***Brand New 1BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•",1,2,Not specified,"OMR 33,000Non Freehold",80 SQM,For Sale
ADS701***Brand New 2BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•",2,3,Not specified,"OMR 43,000Non Freehold",110 SQM,For Sale
ADS302**للبيع فيلا تشطيبات راقية في الخوض السابعة,"Al Khoud, Muscat•",7,8,Not specified,"OMR 135,000Non Freehold",484 SQM,For Sale
Furnished Farm for Sale in Jebel Sifah with beautiful views,"Al Sifah, Muscat•",3,3,Not specified,"OMR 205,000Freehold",177 SQM,For Sale
Own Your Apartment Now in Sultan Haitham City,"Sultan Haitham City, Muscat•",1,1,Not specified,"OMR 54,395Freehold",67 SQM,For Sale
"تاون هاوس للبيع, مدينة السلطان هيثم | Townhouse Sultan Haitham City","Sultan Haitham City, Muscat•",3,3,Not specified,"OMR 111,700Freehold",194 SQM,For Sale
"Best Price 1 Bedroom Freehold Apartment for Sale Jebel Sifah, Muscat","Al Sifah, Muscat•",1,1,Not specified,"OMR 50,000Negotiable",61 SQM,For Sale
"Zunairah Villas – Redefining Ultra-Luxury Living in Al Mouj, Muscat","The Wave (Almouj), Muscat•",7,7,Not specified,"OMR 4,000,000Freehold","2,100 SQM",For Sale
Luxury Lakefront Villa with Private Pool – Al Mouj,"The Wave (Almouj), Muscat•",5,5,Not specified,"OMR 530,000Freehold",534 SQM,For Sale
"2-Bedroom Apartment for Sale – Almeria North, Al Mouj Muscat","The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 160,000Freehold",150 SQM,For Sale
"Luxury 1BR + Study with Sea View – Juman One, Al Mouj","The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 120,000Freehold",104 SQM,For Sale
مكاتب قيد الانشاء للبيع - المعبيلة| Off plan offices for sale,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 25,000Negotiable",65 SQM,For Sale
Free Hold!! Own Your 1-Bedroom Apartment in Wadi Zaha - SHC,"Al Seeb, Muscat•",1,2,Not specified,"OMR 58,000Freehold",75 SQM,For Sale
FREE HOLD!! Own your standalone villa in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•",4,6,Not specified,"OMR 340,000Freehold",388 SQM,For Sale
Spacious 4-Bedroom Farmhouse for Sale in Jebel Sifah,"Al Sifah, Muscat•",4,4,Not specified,"OMR 300,000Freehold","1,420 SQM",For Sale
"installments for 120 months,own your apmnt, office or shop,No upfront","Ghala, Muscat•",1,2,Not specified,"OMR 35,000Non Freehold",86 SQM,For Sale
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat","The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 110,000Freehold",95 SQM,For Sale
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach","The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 83,000Freehold",70 SQM,For Sale
For Sale: Prime Land in Ghala,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 3,000,000","16,300 SQM",For Sale
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,"Al Duqum, Al Wusta•",1,2,Not specified,"OMR 24,000Freehold",40 SQM,For Sale
توين فيلا للبيع في حي الكوثر الخوض,"Al Khoud, Muscat•",6,7,Not specified,"OMR 118,000Non Freehold",300 SQM,For Sale
منزل للبيع في المعبيلة الجنوبية حي العز,"Al Maabilah, Muscat•",4,4,Not specified,"OMR 68,000Non Freehold",226 SQM,For Sale
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 120,000Freehold",127 SQM,For Sale
Twin Villa for Sale Soor Al Hadid,"Al Seeb, Muscat•",5,7,Not specified,"OMR 87,000Freehold",378 SQM,For Sale
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 230,000Freehold",157 SQM,For Sale
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 30,000Non Freehold",101 SQM,For Sale
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,"Al Maabilah, Muscat•",3,3,Not specified,"OMR 36,500Non Freehold",126 SQM,For Sale
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,"Al Maabilah, Muscat•",2,3,Not specified,"OMR 55,000Non Freehold",531 SQM,For Sale
شقة سكنية للبيع ف المعبيلة حي الرحبة قريب مدرسة منار الحكمة,"Al Maabilah, Muscat•",3,3,Not specified,"OMR 25,500Non Freehold",101 SQM,For Sale
منزل مستقل للبيع في المعبيلة مقابل جامع السلطان تيمور بن فيصل,"Al Maabilah, Muscat•",3,4,Not specified,"OMR 66,000Non Freehold",509 SQM,For Sale
فيلا بجودة بناء عالية للبيع في مرتفعات الأنصب,"Ansab, Muscat•",4,6,Not specified,"OMR 205,000Non Freehold",405 SQM,For Sale
استخدم خدماتنا تساعدك في بيع عقارك/Sell ​​your property/free marketing,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 1,111,111Negotiable",10 SQM,For Sale
Free Hold!! Furnished 1BHK Apartment with Pool View in Muscat Hills,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 72,000Freehold",78 SQM,For Sale
شقة ستوديو للبيع في واحة المعرفة | Studio with payment plan in Muscat,"Al Khoud, Muscat•",1,1,Not specified,"OMR 47,300Freehold",57 SQM,For Sale
Luxurious 1 BHK Apartment for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",1,2,Not specified,"OMR 62,010Freehold",73 SQM,For Sale
"For Sale – Elegant Villa in Al Ghadeer Garden , Al Mouj Muscat","The Wave (Almouj), Muscat•",3,3,Not specified,"OMR 295,000Freehold",269 SQM,For Sale
For Sale | 2 Bed + Maid – Full Marina View | Al Mouj Muscat,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 265,000Freehold",181 SQM,For Sale
Modern 2BR + Study Apartment for Sale in Acacia,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 135,000Freehold",138 SQM,For Sale
شقة للبيع بمسقط هيلز Apartment for Sale in Muscat Hills,"Muscat Hills, Muscat•",2,3,Not specified,"OMR 72,000Freehold",108 SQM,For Sale
Own your villa in wadi zaha -freehold for local and expats,"Sultan Haitham City, Muscat•",3,3,Not specified,"OMR 154,000Freehold",209 SQM,For Sale
“Own Your Studio in Wadi Zaha –   100% Freehold for Expats & Locals,"Sultan Haitham City, Muscat•",1,1,Not specified,"OMR 42,800Freehold",52 SQM,For Sale
Off- plan Apartments for Sale - Al Khoud | شقق قيد الإنشاء في الخوض,"Al Khoud, Muscat•",1,2,Not specified,"OMR 21,000Negotiable",53 SQM,For Sale
محل قيد الانشاء للبيع-المعبيلة  |Off- plan Shop for Sale-Almubilah,"Al Maabilah, Muscat•",Not specified,Not specified,Not specified,"OMR 52,000Negotiable",36 SQM,For Sale
شقق قيد الانشاء للبيع-المعبيلة  |Off- plan Apartments for Sale,"Al Maabilah, Muscat•",1,2,Not specified,"OMR 17,000Negotiable",55 SQM,For Sale
محل قيد الانشاء للبيع-بوشر |Off- plan Shop for Sale- Bushar,"Bosher, Muscat•",Not specified,Not specified,Not specified,"OMR 20,500Negotiable",21 SQM,For Sale
فيلا مستقلة للبيع,"Al Khuwair, Muscat•",7,6,Not specified,"OMR 100,000Non Freehold",380 SQM,For Sale
بناية سكنية للبيع مؤجرة بالكامل,"Al Ghubrah, Muscat•",Not specified,Not specified,Not specified,"OMR 200,000Non Freehold","1,103 SQM",For Sale
شقق فاخرة للبيع,"Azaiba, Muscat•",2,3,Not specified,"OMR 48,000Non Freehold",118 SQM,For Sale
شقة بنتهاوس للبيع,"Bosher, Muscat•",1,1,Not specified,"OMR 35,000Non Freehold",79.4 SQM,For Sale
فيلا حديثة الطراز بتشطيبات و مواصفات شخصية,"Al Maabilah, Muscat•",5,7,Not specified,"OMR 85,000Non Freehold",322 SQM,For Sale
Live by the beach. Wake up to the marina. Own your place in luxury,"The Wave (Almouj), Muscat•",1,1,Not specified,"OMR 78,000Freehold",70 SQM,For Sale
Villa for Sale with 4 BHK in Sultan Haitham City,"Al Maabilah, Muscat•",4,4,Not specified,"OMR 340,000Freehold",380 SQM,For Sale
5 bedroom villa for sale in Muscat Bay,"Qantab, Muscat•",5,5,Not specified,"OMR 950,000Freehold",646 SQM,For Sale
Villa for Sale in Salalah with 4 bedrooms,"Salalah, Dhofar•",4,5,Not specified,"OMR 338,552Freehold",243 SQM,For Sale
Villa for Sale with 4 BHK in Muscat Yiti,"Yiti, Muscat•",4,4,Not specified,"OMR 491,410Freehold",384 SQM,For Sale
fully furnished villa in Muscat,"Yiti, Muscat•",3,3,Not specified,"OMR 269,290Freehold",124 SQM,For Sale
Wonderful 1 BHK Apartment Sustainable City | Installment,"Yiti, Muscat•",1,2,Not specified,"OMR 85,000Freehold",72 SQM,For Sale
"Gorgeous Sea View branded apartment, Feehold","The Wave (Almouj), Muscat•",2,3,Not specified,"OMR 470,486Freehold",203 SQM,For Sale
Hotel Apartment for Sale | Prime Sea View Location,"The Wave (Almouj), Muscat•",3,5,Not specified,"OMR 599,600Freehold",262.02 SQM,For Sale
2BHK Apartment in AIDA |Great Escape 2–شراء شقة عايدة فقط 5٪ دفعة أولى,"Yiti, Muscat•",2,3,Not specified,"OMR 140,000Freehold",95 SQM,For Sale
1BHK Appartment in Aida Great Escape2-- 5 % downpayment شراء شقة عايدة,"Yiti, Muscat•",1,2,Not specified,"OMR 90,000Freehold",57 SQM,For Sale
فيلا للبيع في الخوض السادسة,"Al Khoud, Muscat•",6,7,Not specified,"OMR 160,000Non Freehold",300 SQM,For Sale
فيلا راقية للبيع في مرتفعات الأنصب Luxury vila for sale inAnsab hights,"Ansab, Muscat•",7,9,Not specified,"OMR 225,000Non Freehold",704 SQM,For Sale
فلة مزرعة للبيع في منتجع السيفة,"Al Sifah, Muscat•",4,5,Not specified,"OMR 245,000Freehold","1,299 SQM",For Sale
تملك شقتك في مسقط بالاقساط علي 100 شهر بدون فوائد,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 25,000Non Freehold",100 SQM,For Sale
تملك شقتك بقسط شهري 200 ريال ف مسقط,"Al Maabilah, Muscat•",2,2,Not specified,"OMR 25,000Non Freehold",100 SQM,For Sale
3 Bedrooms Villa For Sale with Swimming Pool,"The Wave (Almouj), Muscat•",3,3,Not specified,"OMR 320,000Freehold",269 SQM,For Sale
محل للبيع تجاري في موقع مميز وفرصة استثمارية عالية وفريدة,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 36,655Negotiable",44.7 SQM,For Sale
مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"Ghala, Muscat•",Not specified,Not specified,Not specified,"OMR 48,500Negotiable",97.35 SQM,For Sale
محل للبيع تجاري في موقع استراتيجي وعائد استثماري عالي,"Al Ghubrah, Muscat•",Not specified,Not specified,Not specified,"OMR 28,000Negotiable",28.76 SQM,For Sale
Serviced 1 BHK Apartment | 3 Years Payment Plan | La Vie Residences,"Muscat - Other, Muscat•",1,2,Not specified,"OMR 124,031Freehold",105 SQM,For Sale
Fully Serviced and Furnished Studio Apartment for Sale in La Vie,"Muscat Hills, Muscat•",Studio,1,Not specified,"OMR 65,100Freehold",64 SQM,For Sale
1 BR Appartment | Sustainable City Yiti | شقة بغرفة نوم واحدة| ROI: 9%,"Yiti, Muscat•",1,2,Not specified,"OMR 79,000Freehold",79 SQM,For Sale
شقة بغرفتي نوم 2 | الدفع بالتقسيط  في مدينة يتي المستدامة,"Yiti, Muscat•",2,3,Not specified,"OMR 127,931Freehold",118 SQM,For Sale
FREE HOLD!! Amazing 2+1 Bedroom Apartment For Sale in AL Mouj,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 120,000Freehold",127 SQM,For Sale
ADS702***Brand New 1BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•",1,2,Not specified,"OMR 33,000Non Freehold",80 SQM,For Sale
6 Bedroom villa for sale in Al Mouj Muscat Jinan Island,"The Wave (Almouj), Muscat•",6,7,Not specified,"OMR 1,406,000Freehold",907 SQM,For Sale
Villa for Sale with 4 Bedrooms,"Salalah, Dhofar•",4,5,Not specified,"OMR 335,825Freehold",234 SQM,For Sale
Villa for Sale with 4 Bedrooms in Salalah,"Salalah, Dhofar•",4,5,Not specified,"OMR 338,956Freehold",243 SQM,For Sale
Villa for Sale with 4 Bedrooms in Yiti,"Yiti, Muscat•",4,6,Not specified,"OMR 326,456.78Freehold",286.94 SQM,For Sale
5 bedroom Villa for Sale in Muscat Bay,"Qantab, Muscat•",5,6,Not specified,"OMR 950,000Freehold",750.35 SQM,For Sale
Villa for Sale with 4 Bedrooms - فيلا للبيع,"Sultan Haitham City, Muscat•",4,6,Not specified,"OMR 340,016.04Freehold",140 SQM,For Sale
شقة دوبليكس غرفتين وصالة للبيع -مرتفعات غلا على إطلالة مميزة,"Ghala, Muscat•",2,3,Not specified,"OMR 55,000Non Freehold",100 SQM,For Sale
Lovely 3 Bedroom apartment in Qurum for Sale,"Qurum, Muscat•",3,5,Not specified,"OMR 69,525Non Freehold",138 SQM,For Sale
منزل للبيع المعبيلة الجنوبية مقابل الممشى والمنتزهات,"Al Maabilah, Muscat•",8,7,Not specified,"OMR 89,000Negotiable",388 SQM,For Sale
"‎شقة بدخل ٥سنوي -٦%، هوانا | Yearly 5-6% return apartment, Hawana","Salalah, Dhofar•",1,1,Not specified,"OMR 100,000Negotiable",30 SQM,For Sale
شقق قيد الانشاء للبيع - الحيل | Off-Plan Apartments for Sale,"Al Hail, Muscat•",1,2,Not specified,"OMR 23,000Negotiable",64 SQM,For Sale
Apartment for Sale with 24 month Installment,"Muscat Hills, Muscat•",2,3,Not specified,"OMR 77,000Freehold",104 SQM,For Sale
"Apartment for Sale, 24 Months Installment, Muscat Hills","Muscat Hills, Muscat•",2,3,Not specified,"OMR 95,000Freehold",129 SQM,For Sale
Apartment for Sale in Muscat Hills with 24 Months Installment,"Muscat Hills, Muscat•",2,3,Not specified,"OMR 87,000Freehold",114 SQM,For Sale
Villa for Sale in Muscat Hills with pool,"Muscat Hills, Muscat•",5,6,Not specified,"OMR 320,000Negotiable",433 SQM,For Sale
Shop for Sale in Muscat Hills with Installment,"Muscat Hills, Muscat•",Not specified,Not specified,Not specified,"OMR 170,877Freehold",103 SQM,For Sale
"Studio for Sale in Muscat, ITC, Off Plan, 3 Years Installment","Muscat Hills, Muscat•",Studio,1,Not specified,"OMR 9,600Freehold",49 SQM,For Sale
"Apartment for Sale in Muscat Hills, Off Plan, 36 Month Installment","Muscat Hills, Muscat•",1,2,Not specified,"OMR 12,900Freehold",81 SQM,For Sale
"Apartment for Sale in Golf Tower, Muscat Hills, Semi Furnished","Muscat Hills, Muscat•",2,3,Not specified,"OMR 79,500Freehold",130 SQM,For Sale
Villa for Sale with Installment in Muscat Hills,"Muscat Hills, Muscat•",4,5,Not specified,"OMR 120,000Freehold",800 SQM,For Sale
Shop for Sale in Business Tower 2 Muscat Hills with installment,"Muscat Hills, Muscat•",Not specified,Not specified,Not specified,"OMR 118,807Freehold",73 SQM,For Sale
Apartment for Sale with 1 BHK Furnished in Muscat Hills,"Muscat Hills, Muscat•",1,2,Not specified,"OMR 78,000Negotiable",108 SQM,For Sale
ADS902**4 BHK + 2 Maid's Room Villa for sales Beautiful Standalone Vi,"Qurum, Muscat•",4,5,Not specified,"OMR 470,000Non Freehold",420 SQM,For Sale
2 Bedrooms Apartment for Sale With Marina Views,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 220,000Freehold",153 SQM,For Sale
2 Bedroom Apartment for Sale in Almeria North Wave Muscat Almouj,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 125,000Freehold",139 SQM,For Sale
Sea View | Furnished Beachfront 2BHK Villa| Private Pool | Jebel Sifah,"Al Sifah, Muscat•",2,3,Not specified,"OMR 265,000Freehold",139.4 SQM,For Sale
FREE HOLD!! Own your  villa in Sultan Haitham City,"Sultan Haitham City, Muscat•",4,6,Not specified,"OMR 340,000Freehold",388 SQM,For Sale
Canal View | Big Terrace | Furnished Corner 2BHK Apartment in Al Mouj,"The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 140,000Freehold",126 SQM,For Sale
Own Golf View Villa Today!  اغتنم شراء فیلا| تقسیط | مطلة على الجولف,"The Wave (Almouj), Muscat•",4,5,Not specified,"OMR 437,850Freehold",314 SQM,For Sale
استثمار مربح /موج مسقط /عوائد سنویة /تملک حر,"The Wave (Almouj), Muscat•",5,6,Not specified,"OMR 425,000Freehold",619 SQM,For Sale
ADS701***Brand New 2BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•",2,3,Not specified,"OMR 43,000Non Freehold",110 SQM,For Sale
ADS302**للبيع فيلا تشطيبات راقية في الخوض السابعة,"Al Khoud, Muscat•",7,8,Not specified,"OMR 135,000Non Freehold",484 SQM,For Sale
Furnished Farm for Sale in Jebel Sifah with beautiful views,"Al Sifah, Muscat•",3,3,Not specified,"OMR 205,000Freehold",177 SQM,For Sale
Own Your Apartment Now in Sultan Haitham City,"Sultan Haitham City, Muscat•",1,1,Not specified,"OMR 54,395Freehold",67 SQM,For Sale
"تاون هاوس للبيع, مدينة السلطان هيثم | Townhouse Sultan Haitham City","Sultan Haitham City, Muscat•",3,3,Not specified,"OMR 111,700Freehold",194 SQM,For Sale
"Best Price 1 Bedroom Freehold Apartment for Sale Jebel Sifah, Muscat","Al Sifah, Muscat•",1,1,Not specified,"OMR 50,000Negotiable",61 SQM,For Sale
"Zunairah Villas – Redefining Ultra-Luxury Living in Al Mouj, Muscat","The Wave (Almouj), Muscat•",7,7,Not specified,"OMR 4,000,000Freehold","2,100 SQM",For Sale
Luxury Lakefront Villa with Private Pool – Al Mouj,"The Wave (Almouj), Muscat•",5,5,Not specified,"OMR 530,000Freehold",534 SQM,For Sale
"2-Bedroom Apartment for Sale – Almeria North, Al Mouj Muscat","The Wave (Almouj), Muscat•",2,2,Not specified,"OMR 160,000Freehold",150 SQM,For Sale
